text,label,source_url,pre_labeled,notes
"First of all, azir is shit, even in higher elos. Just a bad soloQ champ.",hot_take,,TRUE,
"Top Lane Meta Is Dumb Right Now. Top laners don't want to hear this but the fix is getting rid of the ward light that makes you ungankable with just 1 ward.",hot_take,,TRUE,"Confident opinion + proposed fix, no evidence."
"Ranged DOT mages should stop building Demonic Embrace, literally any other item is more useful.",hot_take,,TRUE,
"Knight's Vow and Frozen Heart are in the top 10 strongest items in game.",hot_take,,TRUE,"Bold ranking claim, no source -> hot_take per decision rule."
"Might be a hot take but... I was wondering, wouldn't it be easier to climb faster in elo if I'd avoid performing my best?",hot_take,,TRUE,
"Wyrmfallen Sacrifice (Ornn Kraken) was the best item in game by far.",hot_take,,TRUE,
"Tanks should be buying support items after their mythic.",hot_take,,TRUE,
"Possibly hotter take: Frozen Heart is strong enough to buy on champs who have absolutely no use for the mana. I flex it on Riven in place of Randuins if I need armor but crit isn't the issue. I think it's wholly better than DD on champs that aren't meant to be draintanks.",hot_take,,TRUE,"BORDERLINE analysis: reasons about item interactions, but framed as personal preference with no verifiable data."
"Stopwatch is the single best purchase in the game. A well timed stopwatch can flip a fight even when behind. It should have either less stasis time than Zhonyas or cost more.",hot_take,,TRUE,
"Vayne is miserable to play in bot lane, she isn't even the hypercarry people think she was anymore. Due to recent crit changes, most ADCs can bully her in lane and out of lane. She loses at every stage against them. A 7 item Caitlyn can literally one-tap her lategame.",hot_take,,TRUE,"BORDERLINE analysis: references crit changes, but hyperbolic and no specific stats -> hot_take."
"Picking Pantheon and not impacting any lanes feels awful. Also AP junglers can farm so much faster, I'm surprised they didn't try any AP junglers despite his fav being Nidalee.",rant,,TRUE,"BORDERLINE: opens with feeling (feels awful) then an observation. Reviewer decide rant vs hot_take."
"My personal take is that arena is at its best when there's no prismatic augment selects, only silvers and golds.",hot_take,,TRUE,
"Riot said that ""these don't degrade skill expression in lane"" which I find funny because the whole laning phase revolves around trading with the enemy laner while trying to CS as well as possible. It's literally a skill in itself to last hit minions in lane while fighting the enemy laner.",hot_take,,TRUE,"BORDERLINE rant: argues a debatable design opinion; mild emotion."
"CSing is one of the fundamental skills in the game. It has been in the game since forever. You are forced to interact with it whether you like it or not (unless you are a jungler). People spent years perfecting it just for Riot to implement some dumbed down indicator.",hot_take,,TRUE,"BORDERLINE rant: critical of Riot, but the core is a debatable claim."
"Honestly I think the right answer is that this is probably a good addition because it makes a part of the game easier that's super micro heavy while being only really punishing. You didn't ""deservedly"" accomplish anything by the enemy Ryze missing a cannon to a failed auto, but in situations where you zoned him off you're still rewarded.",hot_take,,TRUE,"Reasoned opinion defending the change, no data."
"Sure, it welcomes new players, but it ruins high level players as well. Players who have mastered these fundamental skills over the years are now on the same playing field as those who didn't.",hot_take,,TRUE,
"The last hit indicator will have near 0 impact for most people that are gold or above, it'll mainly help those in iron-silver (who can need the help).",hot_take,,TRUE,"BORDERLINE analysis: bracket-based prediction but no data."
"I lost two games and received penalties because my game status stopped being displayed for no apparent reason between matches.",rant,,TRUE,
"So what's the deal with int accounts / accounts being paid to lose or derank, and when is Riot going to actually do something substantial about it?",rant,,TRUE,"Frustrated question aimed at Riot."
"There is not any substantial number of int accounts in low elo. It'd be borderline impossible to even match with specific people in mid-low elo. Wintrading and alt accounts set to lose became a thing in high elo because of how effective they are, and the low pool of players to draw from.",analysis,,TRUE,"HARD EDGE CASE: structured explanatory reasoning but no verifiable stats. Strong hot_take vs analysis candidate for planning.md."
"Melee lane bullies are borderline unfunctional ATM with picks like Renekton and Aatrox getting absolutely shafted by Kayle and Shen. There's also a disgusting amount of range top laners, with Vayne being like a top 5 most played top laner. Voltaic and the Ambessa ult nerf just reduce the checkmate champions melee bruisers have against range top like Ambessa and Aatrox who relied on those items to turbo stomp the matchup. You have to build extremely gimmicky on a handful of melee champs to turbo stomp the lane, but only like Yorick can do that right now. Range top pigeonholes a lot of melee bruisers into being borderline unfightable and everything else scales too fast and lane holds too well like Kayle or tanks.",analysis,,TRUE,"BORDERLINE hot_take: references item nerfs + pick-rate claims (substantive) but uses emotional language and no hard numbers."
"I personally cannot stand the new iteration of arena. To be fair though I never fully liked arena much in the first place. Didn't hate it, just thought it was meh.",rant,,TRUE,
"Now to Rek'Sai: she's really hard to play, she suffers a bit the same problem as Nidalee - either you get the snowball going from the beginning, or you fall off a cliff. Rek'Sai requires really good macro. Once you're in, you don't really have a way out.",analysis,,TRUE,"BORDERLINE hot_take: champion-mechanic reasoning, analytical tone, but no hard stats."
"Just barely glancing at lolalytics, no assassins in midlane have a sub-50% win rate, and only 3 in the jungle have a sub-50% win rate, and they're Zed, Qiyana, and Rengar. So I'd say assassins are doing pretty alright.",analysis,,TRUE,"Cites lolalytics + specific win rates and champs."
"Only in Masters+. You can see the breakdown on lolalytics: In All Ranks the most popular APC is Brand at 2.46% with 5 mages above 1% pick rate. In Emerald+ the highest pick rate is Brand at 2.92% with 7 mages above 1%. In Masters+ the highest pick rate is Seraphine at 2.69% with 12 mages above 1%.",analysis,,TRUE,"Data-heavy pick-rate breakdown with a source."
"Also her passive is insanely strong in higher elos, while players in the lower brackets won't really make use of it.",analysis,,TRUE,"Thin. BORDERLINE hot_take - mechanic claim, no data."
"Rek'Sai requires perfect execution in the early game. One mistake and it's hard to come back.",analysis,,TRUE,"Thin. BORDERLINE hot_take."
"Yuumi is the metric standard of ""off meta clears"" because even she can hit 3:05 with perfect kiting.",analysis,,TRUE,"Specific clear-time figure."
"Honestly, I'm blaming Riot for this; by making toplane so snowbally (2+ levels of difference just through wave management), cheesy stuff that works early now also scales deep into the mid-game, while simultaneously being less zoneable even if you're in a losing matchup.",analysis,,TRUE,"BORDERLINE rant: structured mechanic reasoning wrapped in emotional framing."
"Renekton can absolutely clear before scuttle but you're going to have to practice it very thoroughly and find every little trick to save time.",analysis,,TRUE,
"I quite like this new Sera-Ashe meta going on in competitive.",hot_take,,TRUE,"Mild personal preference about the meta."
"I love seeing Ashe in proplay and I love seeing other supports than melee engage like Alistar, Nautilus etc being played.",hot_take,,TRUE,"Positive opinion/preference about the meta."
"People who don't watch a lot of pro play don't understand that enchanter meta just turns the game into a snoozefest where every botlane is scaling for 20min and jg is forced into Vi Wukong Lee Xin J4. As opposed to jungle being Vi Wukong Lee Xin J4 before this enchanter meta LMFAO.",hot_take,,TRUE,"BORDERLINE rant: dismissive, opinionated."
"Yes but you would be able to see a carry jg in more games. Compare season 15 and s16 LCK and you can see what I mean.",analysis,,TRUE,"Thin comparative claim."
"I looked up LCK match history and unless you have an engage support, you are not going to see any carry jg such as Viego, Naafiri, Zyra, or Zaahen.",analysis,,TRUE,"Observation backed by match history -> analysis (was meta_report; category dropped)."
"That's why so many toplaners are either quitting or swapping to other roles. Even in gold, top has been the 3rd most filled role for me after jungle and support. In the past adc was 3rd and there were a couple mid games here and there; now it's almost exclusively jungle/support with the occasional top and adc game. I haven't seen mid by queuing fill in over 50 games.",analysis,,TRUE,"BORDERLINE rant: anecdotal personal data driving an observation."
"Playing Shaco is morally reprehensible and I genuinely believe you're a bad person if you main him. I look at and think differently about you the more points you have on Shaco.",hot_take,,TRUE,
"Pick/Winrate doesn't say shit about how strong a champ actually is.",hot_take,,TRUE,"BORDERLINE analysis: claim about metrics but asserted, no support."
"To add to your point. Pick/Winrate does not take into account champion difficulty. A 53% winrate Akali is not the same as a 53% Nami.",analysis,,TRUE,"BORDERLINE hot_take: reasoned point about why winrate misleads, with concrete comparison."
"The league community makes the game seem more toxic than it actually is. The game doesn't feel nearly as toxic as it was a few years ago, back when you could type whatever you wanted in chat or run it down without punishment. And the game is actually pretty great right now - go play any other MOBA and you'll realize how good League is. Even Wild Rift is pretty shit compared to PC.",hot_take,,TRUE,
"Junglers deserve an anti-invade advantage, where the opponent gets punished if they try to invade. Taking camps wouldn't be affected, but the invading champion would take increased damage while dealing reduced damage until 2:30 or 3:30. This allows some room for error.",hot_take,,TRUE,"Detailed design proposal; opinion, no evidence."
"Warding has the highest ratio of game impact to investment. Every teammate, in every game mode that allows it, needs to do their part in warding if they want to win.",hot_take,,TRUE,
"We need anti heal boots.",hot_take,,TRUE,
"Flaming because you are slightly behind is a very good way to lose hard.",hot_take,,TRUE,
"I'll start first, I think Viper has been slightly overrated for a while. Obviously an S tier ADC but it feels like the majority of people always put him as the best AD in the world or top 2 always.",hot_take,,TRUE,
"Doublelift being loaned to TL from TSM in 2017 to carry them out of relegations should never have been allowed.",hot_take,,TRUE,
"BDD is the third best mid in the world. Maybe he isn't playing like it right now but in a Worlds bo5 I'd be more afraid of BDD than 2024 Faker, worlds choker Xiaohu, Scout, Showmaker, or Creme. Only Chovy and Knight are ahead of him, but he probably isn't even making Worlds.",hot_take,,TRUE,"Ranking opinion with comparisons but no evidence."
"Current NRG core gets way too much credit, and thank god they're probably blowing this roster up.",hot_take,,TRUE,
"Czech scene - players betting on their own matches because the scene is small and they all know each other. Riot knows this but doesn't do anything. I have proof in DMs if you don't believe me.",hot_take,,TRUE,"BORDERLINE rant: accusatory match-fixing claim aimed at Riot inaction."
"I fucking hate franchising, it killed LCS and LEC.",hot_take,,TRUE,"BORDERLINE rant: emotional wrapper, but underlying claim (franchising killed the leagues) is debatable -> hot_take per decision rule."
"The fans who aren't really into the scene but occasionally watch playoffs and tune into MSI and Worlds every year without much knowledge probably have the best time and most fun watching.",hot_take,,TRUE,
"Doublelift is neither the LCS goat, nor even the runner up. Both Impact and Bjergsen are solidly ahead of him.",hot_take,,TRUE,
"Fearless draft should be standard across all pro and semi pro levels.",hot_take,,TRUE,
"Viper isn't even a top 3 ADC in LCK atm, and there are probably 5 in the world I'd rate above him.",hot_take,,TRUE,
"I think Faker should retire.",hot_take,,TRUE,
"Removing Team Ranked and the challenger series to make LoL a franchise was the downfall of LoL Esports.",hot_take,,TRUE,
"Showmaker is incredibly overrated and the only reason he's still on DK is because he's the face of the org.",hot_take,,TRUE,
"Yorick is a poke mage.",hot_take,,TRUE,
"Gangplank is an AD control mage.",hot_take,,TRUE,
"People overestimate the enemy team's lead and underestimate their ability to come back. The current state of the game, with objective bounties and how shutdowns work, makes it incredibly easy to capitalize on enemy mistakes and quickly swing the game back. Despite this, people mentally boom when the enemy is up 6 cs and a kill at 10 minutes.",analysis,,TRUE,"BORDERLINE hot_take: explains comeback mechanics (objective bounties, shutdowns) but no hard data."
"Yasuo OTPs are really fun to fight, they always try to outplay, lots are salty when they lose, but I respect their misplaced confidence.",hot_take,,TRUE,
"Hard agree. I'd rather play against Yasuo mains every game than Xerath, Azir, or Malzahar players who die once at level 3 and hug their tower for the rest of the game.",hot_take,,TRUE,"BORDERLINE rant: preference with mild frustration at passive players."
"Every single skin should be blind tested with in-game screenshots asking players ""Which champion is this?"" Anything below an 80% pass rate should have its design tweaked. The same should be done for splash art.",hot_take,,TRUE,"Detailed design proposal."
"I think the empyrean skins are ugly.",hot_take,,TRUE,
"Picking marksmen below master tier is suboptimal.",hot_take,,TRUE,"BORDERLINE analysis: optimality claim but no evidence."
"There shouldn't be resourceless champs. Energy, hp, mana, anything, as long as the skills cost something. It's just not fair that some champions get to cast everything for free.",hot_take,,TRUE,
"People overreact any time one of their teammates has a bad game and always insist on calling it ""trolling"" when their teammates make stupid decisions or play badly.",hot_take,,TRUE,"BORDERLINE rant: complaint about the community, but core is a debatable claim."
"Summoner's Rift map geometry is due an overhaul. I think role balance and interaction would be healthier and easier to figure out if there was simply more space to work with.",hot_take,,TRUE,
"Saying that champs from classes other than marksmen and mages should have a few viable options in botlane is a huge hot take for a lot of people on this sub.",hot_take,,TRUE,
"Teleport needs a major rework.",hot_take,,TRUE,
"League needs to stop releasing new champions and rework the out of date champions first.",hot_take,,TRUE,
"Everybody should be forced to play 10 games of adc and jungle.",hot_take,,TRUE,
"League toxicity is overblown by this community, anyone complaining about finding inters every 2 or 3 games is probably instigating half their issues themselves.",hot_take,,TRUE,"BORDERLINE rant: blames complainers, but core is a debatable claim."
"Every dash in the game, EVERY SINGLE ONE, should have its dash speed affected by movement speed slows, similar to how Kalista is.",hot_take,,TRUE,"Design proposal."
"Players are almost always at or near the rank they deserve. Complaining about teammates is ridiculous since you'd have 5 opponents of the same skill level as your team. Players are just coping hard that they're stuck below where they believe they belong.",hot_take,,TRUE,"BORDERLINE analysis: has a logical argument (symmetric teammates) but no data."
"Riot is letting League die so they can push the MMO harder.",hot_take,,TRUE,
"I don't like Yone. I get that every character has ways to counter it, but god that entire character is so obnoxious to deal with. Really powerful kit with several engages, self-heal and shield, and a free out, all baked into his kit, with no resource costs.",hot_take,,TRUE,"BORDERLINE rant/analysis: emotional framing plus a substantive kit breakdown."
"Report me for picking a champion!",rant,,TRUE,
"Diana that types the n-word in champ select and feeds my lane a free kill, then never ganks again.",rant,,TRUE,"Venting about a bad teammate; describes (does not use) a slur."
"Mistaken dodge into banned main into uncarriable loss.",rant,,TRUE,
"Xin that forgets to buy jungle item and doesn't react to pings or chat trying to desperately notify him of his error.",rant,,TRUE,
"Everyone ignores the fed Trundle running our base down because it's obviously my fault for playing out a bad matchup, and Jax also gave him two free kills for no reason.",rant,,TRUE,
"Briar ulting into Narnia, the only reason we win is that the enemy decided to stop playing. First timer Yasuo and Senna duoing bot because Zed wanted mid instead of dodging. Zed communicates and has good mental, gets my hopes up. Yasuo starts unironically feeding because we won't ff. I check their op.gg, almost all losses, running it down every game.",rant,,TRUE,"Appears to be multiple merged venting posts; reviewer may want to split."
"Illaoi is an overpowered champion.",hot_take,,TRUE,
"Why is pinging more than 3 times allowed and still not reportable?",rant,,TRUE,"BORDERLINE hot_take: frustrated question about toxicity."
"My jungle locked in Zoe jungle with no smite and after stealing xp from top she goes at level 2 to our blue buff, dies, then types in team chat that she didn't want to play anyway and that we can't get mad because it's a normal and not ranked (as if trolling in normals is fine).",rant,,TRUE,
"Hullbreaker - to the people abusing this piece of shit item, there's a special place in hell for you faggetass retards. And hopefully you're sent there quickly!!!!!",rant,,TRUE,"Pure emotional venting; raw text kept uncensored at collector's request."
"The client doesn't work properly and never did even though the game is around 13 years old. Match history doesn't update properly, doesn't always show stats after the game, and sometimes the client even crashes after a game.",rant,,TRUE,"BORDERLINE analysis: lists specific client bugs, but grievance-driven."
"Multiple interaction bugs between champions and they're still releasing new ones even with 158 champions in the game, instead of sorting the old ones out. A lot of champions need a rework or a huge graphic update, some champions also have no skins while others have 10+ just because they're more ""meta"".",rant,,TRUE,"BORDERLINE hot_take: grievance plus a debatable claim (rework old champs first)."
"The community is so toxic they had to implement the ability to mute/report players in champion select. People always say it's a ""team-based game"", but everyone recommends you mute everyone on your team to not get tilted, with an option to turn off allied chat entirely and just rely on pings.",rant,,TRUE,
"The game has 158 champions and is still releasing new ones frequently, but every season contains the same champions in the meta, with some exceptions. The same champions are banned and played and people get flamed for not playing what's meta or S-tier or for not countering the enemies.",rant,,TRUE,"BORDERLINE hot_take: grievance plus a debatable claim."
"The whole smurfing thing is just out of hand. People making/buying new accounts ruins the experience for people who actually deserve the rank they're in. Most of them flame you for not keeping up, they get 20 kills and you have no idea how, and you learn nothing. You also get pushed into higher ranks you don't even deserve.",rant,,TRUE,
"Vi is so fucking op that it makes me want to stop playing this game.",hot_take,,TRUE,"HARD EDGE CASE: emotional venting wrapped around a balance claim (Vi is OP). Strong rant vs hot_take candidate for planning.md."
"Flex mmr is dumb.",hot_take,,TRUE,"BORDERLINE rant: short dismissive opinion."
"It's so hilarious whenever I get random 5 man teams in flex where half of them outrank every single person in my team (almost all randoms playing solo) and somehow that's equal matchmaking. MMR in flex is giga fucked and Riot doesn't give a fuck.",rant,,TRUE,"BORDERLINE hot_take: matchmaking complaint, heavy venting tone."
"From my last tests they use her real armor as opposed to base. Buying armor items like Zhonyas or Frozen Heart should now self-invalidate minion disguises. Yeah, buying armor fucks Neeko. Tested it. https://imgur.com/a/spot-neeko-1V77H3P",analysis,,TRUE,"Tested claim with an evidence link; item interaction."
"Unironically I hope the last hit indicator is adjustable or turnable off. One day I queued for a bot game and I was confused seeing those indicators, to the point I was last hitting worse as I couldn't tell what hp bar I was looking at.",hot_take,,TRUE,"BORDERLINE rant: preference plus a personal anecdote."
"They're actually going to let Imperial Mandate be that strong. Losing 5 AP is not enough for the increase of AH on hard cc spells and the increase in the Vulnerability passive.",analysis,,TRUE,"BORDERLINE hot_take: item-change reasoning with specifics, incredulous tone."
"Next patch notes nerf list is going to be full of Mandate users isn't it.",hot_take,,TRUE,"Prediction/opinion."
"The problem lies in ""anyone that wants those passives"". The item is built by maybe a handful of champions, its stats are just not useful for the majority of the lineup.",analysis,,TRUE,"BORDERLINE hot_take: reasoned claim about the item's niche usage."
"When will the Rocketbelt meta in pro play be addressed? This is just as unhealthy and unfun to watch as the galeforce meta was.",hot_take,,TRUE,"BORDERLINE rant: frustrated question, but core is a debatable claim."
"Rocketbelt just needs to be removed IMO. It was only a matter of time before people realized the item is a dash on decent stats for low investment.",hot_take,,TRUE,"Opinion plus light item reasoning."
"I can't believe Sion and K'Sante get nerfed before Jayce. 50% of the reason they're picked so much is because they're the main ""answers"" to Jayce (they still lose lane). And unlike Jayce, they're not usually blind picked first rotation in game 1.",analysis,,TRUE,"BORDERLINE hot_take: structured reasoning about pick logic."
"So they nerf K'Sante because Doran's Helm was too strong on him... but they also nerf Doran's Helm... what a bunch of clowns.",hot_take,,TRUE,"BORDERLINE rant: dismissive insult, but core is a debatable point about redundant nerfs."
"Doran's Helm is correct in general. It was too strong for any scaling ADC. Good.",analysis,,TRUE,"Thin. Justifies the nerf."
